Sentence
"As a borrower, I want to search by title, so that I can check it exists or not on database."
"As a customer, I want to reserve a book As a customer, I want to see book categories."
"As a customer, I want to create my borrows As a customer, I want to create which book has been read the most this month."
"As a customer, I want to delete book recomendation."
"As a customer, I want to delete my borrows As a customer, I want to delete which book has been read the most this month."
"As a customer, I want to make book recomendation."
"As a customer, I want to read book recomendation."
"As a customer, I want to see my borrows As a customer, I want to see the availability of books."
"As a customer, I want to see which book has been read the most this month."
"As a customer, I want to update book recomendation."
"As a customer, I want to update my borrows As a customer, I want to update which book has been read the most this month."
"As a librarian, I want a random book suggestion system so I can recommend to the visitors that are asked for book suggestions since I do not read books."
"As a librarian, I want to add and edit the subscribers' profiles so that I can enter their details in the system As a librarian, I want to add books to the library."
"As a librarian, I want to add new books As a librarian, I want to add new books so that members can see new books."
"As a librarian, I want to add new books to book list."
"As a librarian, I want to add new members."
"As a librarian, I want to add the new book so that I can add the new book in the system."
"As a librarian, I want to arrange book list based on authors."
"As a librarian, I want to be able to add new members As a librarian, I want to be able to calculate fees for delayed book returns As a librarian, I want to be able to see the list of overdue books."
"As a librarian, I want to be able to update members subscription plans As a librarian, I want to be able to update the status of a book as checked-out during check-out."
"As a librarian, I want to block unwanted members."
"As a librarian, I want to calculate the fee for delayed book returns."
"As a librarian, I want to chat with users."
"As a librarian, I want to check the maintenance dates of the books so that I can periodically."
"As a librarian, I want to check the number of books available for borrowing."
"As a librarian, I want to check where the books is so that I can easily find the book's shelf."
"As a librarian, I want to check which subscriber passed their due date, so that I can make a call to warn the subscribers."
"As a librarian, I want to count the books borrowed by users at a particular time so that I can give them some gifts."
"As a librarian, I want to create book list."
"As a librarian, I want to create information about borrowed books."
"As a librarian, I want to create pages for book information."
"As a librarian, I want to delete books As a librarian, I want to delete books from the library."
"As a librarian, I want to delete information about borrowed books."
"As a librarian, I want to delete members As a librarian, I want to detect unreturned books so that I can reject members."
"As a librarian, I want to determine long tail books, so that I can pull out less valuable books from the collection."
"As a librarian, I want to divide books by subject, author and title, so that I can find easily."
"As a librarian, I want to edit a member subscription As a librarian, I want to edit book list."
"As a librarian, I want to edit current books shelf information As a librarian, I want to edit details about books and their locations."
"As a librarian, I want to edit details about books."
"As a librarian, I want to edit list of borrowed books."
"As a librarian, I want to edit suggestion list."
"As a librarian, I want to edit the detail of books in the library so that I can fix in case of any mistake about them."
"As a librarian, I want to edit the due date of loaned books so that I can change the date if the borrower informs in advance."
"As a librarian, I want to enter details about books and their shelf number."
"As a librarian, I want to find the bookshelf for the books that are asked by visitors."
"As a librarian, I want to get alert when the due date is passed."
"As a librarian, I want to give suggestions."
"As a librarian, I want to keep track of book payments, subscription and subscriber profiles so that I can increase efficiency."
